MD(m)	TVD(m)	TVDSS(m)	TWT(ms)	Vint(m/s)
1200.1899414	1200.1899414	1171.5499268	1168.602051	2418.215332
1200.3399658	1200.3399658	1171.7	1168.727051	2399.42041
1200.49	1200.49	1171.8499756	1168.8540039	2363.3728027
1200.790039	1200.790039	1172.1500244	1169.1119385	2326.2402344
1200.9399414	1200.9399414	1172.3	1169.24	2341.6611328
1201.0899658	1201.0899658	1172.4499512	1169.3669434	2363.3728027
1201.24	1201.24	1172.6	1169.4940186	2361.1557617
1201.540039	1201.540039	1172.9	1169.7479248	2363.3728027
1201.6899414	1201.6899414	1173.0499268	1169.8759766	2341.6611328
1201.8399658	1201.8399658	1173.2	1170.0040283	2343.5678711
1201.99	1201.99	1173.3499756	1170.1309814	2363.3728027
1202.1400146	1202.1400146	1173.5	1170.26001	2326.2402344
1202.290039	1202.290039	1173.6500244	1170.3890381	2324.0922852
1202.4399414	1202.4399414	1173.8	1170.519043	2307.2880859
1202.5899658	1202.5899658	1173.9499512	1170.6500244	2290.2565918
1203.040039	1203.040039	1174.4	1171.0480957	2261.4482422
1203.1899414	1203.1899414	1174.5499268	1171.1820068	2237.4946289
1203.49	1203.49	1174.8499756	1171.4500732	2239.31665
1203.6400146	1203.6400146	1175	1171.5820313	2273.7055664
1203.790039	1203.790039	1175.1500244	1171.7109375	2326.2402344
1203.9399414	1203.9399414	1175.3	1171.8399658	2324.3474121
1204.0899658	1204.0899658	1175.4499512	1171.9691162	2324.0922852
1204.24	1204.24	1175.6	1172.099	2309.1669922
1204.3900146	1204.3900146	1175.75	1172.2280273	2326.2402344
1204.540039	1204.540039	1175.9	1172.3580322	2307.050293
1204.6899414	1204.6899414	1176.0499268	1172.487915	2307.2880859
1204.8399658	1204.8399658	1176.2	1172.6209717	2255.369141
1204.99	1204.99	1176.3499756	1172.7559814	2223.491211
1205.290039	1205.290039	1176.6500244	1173.0279541	2205.9526367
1205.4399414	1205.4399414	1176.8	1173.1619873	2237.4946289
1205.5899658	1205.5899658	1176.9499512	1173.2929688	2290.2565918
1205.74	1205.74	1177.1	1173.421021	2343.5678711
1205.8900146	1205.8900146	1177.25	1173.5479736	2363.3728027
1206.040039	1206.040039	1177.4	1173.677002	2326.2402344
1206.1899414	1206.1899414	1177.5499268	1173.8059082	2324.3474121
1206.3399658	1206.3399658	1177.7	1173.9370117	2290.2565918
1206.49	1206.49	1177.8499756	1174.0699463	2255.369141
1206.6400146	1206.6400146	1178	1174.203979	2239.31665
1206.790039	1206.790039	1178.1500244	1174.3391113	2221.5285645
1206.9399414	1206.9399414	1178.3	1174.4719238	2255.5551758
1207.0899658	1207.0899658	1178.4499512	1174.602051	2307.050293
1207.24	1207.24	1178.6	1174.72998	2345.7521973
1207.3900146	1207.3900146	1178.75	1174.8580322	2343.5678711
1207.540039	1207.540039	1178.9	1174.9880371	2307.050293
1207.6899414	1207.6899414	1179.0499268	1175.11792	2307.2880859
1207.99	1207.99	1179.3499756	1175.3790283	2298.6228027
1208.1400146	1208.1400146	1179.5	1175.5090332	2309.1669922
1208.290039	1208.290039	1179.6500244	1175.6390381	2307.050293
1208.4399414	1208.4399414	1179.8	1175.7669678	2343.8435059
1208.8900146	1208.8900146	1180.25	1176.151001	2343.5678711
1209.040039	1209.040039	1180.4	1176.280029	2326.2402344
1209.1899414	1209.1899414	1180.5499268	1176.411011	2288.3930664
1209.3399658	1209.3399658	1180.7	1176.5429688	2273.7055664
1209.6400146	1209.6400146	1181	1176.8110352	2239.31665
1209.790039	1209.790039	1181.1500244	1176.94397	2255.369141
1209.9399414	1209.9399414	1181.3	1177.0770264	2253.5339355
1210.0899658	1210.0899658	1181.4499512	1177.2089844	2273.7055664
1210.3900146	1210.3900146	1181.75	1177.471069	2290.2565918
1210.540039	1210.540039	1181.9	1177.6009521	2309.1669922
1210.6899414	1210.6899414	1182.0499268	1177.731079	2305.1730957
1210.8399658	1210.8399658	1182.2	1177.8609619	2309.1669922
1210.99	1210.99	1182.3499756	1177.99	2326.2402344
1211.1400146	1211.1400146	1182.5	1178.1159668	2381.2602539
1211.290039	1211.290039	1182.6500244	1178.2390137	2438.945801
1211.4399414	1211.4399414	1182.8	1178.362061	2436.9611816
1211.5899658	1211.5899658	1182.9499512	1178.4830322	2479.795166
1211.74	1211.74	1183.1	1178.6030273	2499.4956055
