'Depth(m)'	'AI_from_well_tie(m/s x g/cc)'	'Synthetic_from_well_tie'	'AI_from_well_tie_Smoothed(m/s x g/cc)'
86.4108047	1e30	1e30	1e30
86.5632019	1e30	1e30	1e30
86.715599	1e30	1e30	1e30
86.8680038	1e30	1e30	1e30
87.020401	1e30	1e30	1e30
87.1727982	1e30	1e30	1e30
87.3252029	1e30	1e30	1e30
87.4776	1e30	1e30	1e30
87.63	1e30	1e30	1e30
87.782402	1e30	1e30	1e30
87.934799	1e30	1e30	1e30
88.087204	1e30	1e30	1e30
88.2396011	1e30	1e30	1e30
88.3919983	1e30	1e30	1e30
88.5444031	1e30	1e30	1e30
88.6968	1e30	1e30	1e30
88.8491974	1e30	1e30	1e30
89.0016022	1e30	1e30	1e30
89.154	1e30	1e30	1e30
89.3064041	1e30	1e30	1e30
89.4588013	1e30	1e30	1e30
89.6111984	1e30	1e30	1e30
89.7636032	1e30	1e30	1e30
89.916	1e30	1e30	1e30
90.0683975	1e30	1e30	1e30
90.2208023	1e30	1e30	1e30
90.373199	1e30	1e30	1e30
90.5256042	1e30	1e30	1e30
90.6780014	1e30	1e30	1e30
90.8303986	1e30	1e30	1e30
90.9828033	1e30	1e30	1e30
91.135201	1e30	1e30	1e30
91.2875977	1e30	1e30	1e30
91.44	1e30	1e30	1e30
91.5924	1e30	1e30	1e30
91.7448044	1e30	1e30	1e30
91.8972015	1e30	1e30	1e30
92.0495987	1e30	1e30	1e30
92.2020035	1e30	1e30	1e30
92.354401	1e30	1e30	1e30
92.5067978	1e30	1e30	1e30
92.6592026	1e30	1e30	1e30
92.8116	1e30	1e30	1e30
92.9640045	1e30	1e30	1e30
93.1164017	1e30	1e30	1e30
93.2687988	1e30	1e30	1e30
93.4212036	1e30	1e30	1e30
93.573601	1e30	1e30	1e30
93.7259979	1e30	1e30	1e30
93.8784027	1e30	1e30	1e30
94.0308	1e30	1e30	1e30
94.1832047	1e30	1e30	1e30
94.3356018	1e30	1e30	1e30
94.488	1e30	1e30	1e30
94.6404037	1e30	1e30	1e30
94.792801	1e30	1e30	1e30
94.9451981	1e30	1e30	1e30
95.0976028	1e30	1e30	1e30
95.25	1e30	1e30	1e30
95.4024048	1e30	1e30	1e30
95.5548019	1e30	1e30	1e30
95.707199	1e30	1e30	1e30
95.8596039	1e30	1e30	1e30
96.012001	1e30	1e30	1e30
96.1643982	1e30	1e30	1e30
96.316803	1e30	1e30	1e30
96.4692	1e30	1e30	1e30
96.6216049	1e30	1e30	1e30
96.7740021	1e30	1e30	1e30
96.926399	1e30	1e30	1e30
97.078804	1e30	1e30	1e30
97.2312012	1e30	1e30	1e30
97.3835983	1e30	1e30	1e30
97.5360031	1e30	1e30	1e30
97.6884	1e30	1e30	1e30
97.8407974	1e30	1e30	1e30
97.9932022	1e30	1e30	1e30
98.145599	1e30	1e30	1e30
98.2980042	1e30	1e30	1e30
98.4504013	1e30	1e30	1e30
98.6027985	1e30	1e30	1e30
98.7552032	1e30	1e30	1e30
98.9076	1e30	1e30	1e30
99.06	1e30	1e30	1e30
99.2124023	1e30	1e30	1e30
99.364799	1e30	1e30	1e30
99.5172043	1e30	1e30	1e30
99.6696014	1e30	1e30	1e30
99.8219986	1e30	1e30	1e30
99.9744034	1e30	1e30	1e30
100.126801	1e30	1e30	1e30
100.2791977	1e30	1e30	1e30
100.4316025	1e30	1e30	1e30
100.584	1e30	1e30	1e30
100.7364044	1e30	1e30	1e30
100.8888016	1e30	1e30	1e30
101.0411987	1e30	1e30	1e30
101.1936035	1e30	1e30	1e30
101.346001	1e30	1e30	1e30
101.4983978	1e30	1e30	1e30
101.6508026	1e30	1e30	1e30
101.8032	1e30	1e30	1e30
101.9556046	1e30	1e30	1e30
102.1080017	1e30	1e30	1e30
102.2603989	1e30	1e30	1e30
102.4128036	1e30	1e30	1e30
102.565201	1e30	1e30	1e30
102.717598	1e30	1e30	1e30
102.87	1e30	1e30	1e30
103.0224	1e30	1e30	1e30
103.1748047	1e30	1e30	1e30
103.3272018	1e30	1e30	1e30
103.479599	1e30	1e30	1e30
103.6320038	1e30	1e30	1e30
103.784401	1e30	1e30	1e30
103.9367981	1e30	1e30	1e30
104.0892029	1e30	1e30	1e30
104.2416	1e30	1e30	1e30
104.3940048	1e30	1e30	1e30
104.546402	1e30	1e30	1e30
104.698799	1e30	1e30	1e30
104.8512039	1e30	1e30	1e30
105.0036011	1e30	1e30	1e30
105.1559982	1e30	1e30	1e30
